Lokasi,Jenis_Kendaraan,Hari,Jam_Ramai_Lama,Jam_Ramai_Pukul,Jam_Sedang_Lama,Jam_Sedang_Pukul,Jam_Sepi_Lama,Jam_Sepi_Pukul,Banyak_Kendaraan_Ramai,Banyak_Kendaraan_Sedang,Banyak_Kendaraan_Sepi,Sirkulasi_Ramai,Sirkulasi_Sedang,Sirkulasi_Sepi,Total_Ramai,Total_Sedang,Total_Sepi,Total_Sehari,Tarif_Parkir,Pendapatan_Sehari,Total_Mingguan,Potensi_Tahunan,Total Sirkulasi,Total Durasi Jam,Intensitas (kendaraan/jam),Kerapatan jalan
Salsa Snack,motor,weekend,3.0,06.00-09.00,7.0,09.00-16.00,5.0,16.00-21.00,11.0,5.0,2.0,11.0,5.0,2.0,44.0,40.0,12.0,96.0,1000.0,96000.0,192000.0,3686400.0,18.0,15.0,1.2,Sedang
Sate Ahmad Yani,motor,weekend,3.0,18.00-21.00,3.0,10.00-13.00,5.0,13.00-18.00,9.0,6.0,3.0,7.0,5.0,2.0,30.0,21.0,13.0,64.0,1000.0,64000.0,128000.0,2457600.0,14.0,11.0,1.2727272727272727,Sedang
Alfamidi Wahid Hasyim,mobil,weekend,4.0,12.00-16.00,6.0,16.00-22.00,5.0,"09.00-12.00, 22.0",3.0,2.0,1.0,3.0,2.0,1.0,15.0,14.0,6.0,35.0,2000.0,70000.0,140000.0,2688000.0,6.0,15.0,0.4,Sedang
Tepi Jalan BJ,mobil,weekend,4.0,12.00-16.00,5.0,16.00-21.00,4.0,08.00-12.00,10.0,6.0,3.0,6.0,4.0,2.0,34.0,26.0,11.0,71.0,2000.0,142000.0,284000.0,5452800.0,12.0,13.0,0.9230769230769231,Sedang
Warung SS-JailBreak,mobil,weekend,1.0,12.00-13.00,2.0,18.00-22.00,5.0,13.00-18.00,4.0,2.0,1.0,3.0,1.0,1.0,7.0,4.0,6.0,17.0,2000.0,34000.0,68000.0,1305600.0,5.0,8.0,0.625,Sedang
Sonic Chicken,mobil,weekend,4.0,12.00-16.00,6.0,16.00-22.00,3.0,09.00-12.00,3.0,1.0,1.0,2.0,1.0,0.0,11.0,7.0,1.0,19.0,2000.0,38000.0,76000.0,1459200.0,3.0,13.0,0.23076923076923078,Sedang
Alfamart Wahid Hasyim,mobil,weekend,4.0,18.00-22.00,5.0,07.00-12.00,6.0,12.00-18.00,2.0,2.0,1.0,2.0,1.0,0.0,10.0,7.0,1.0,18.0,2000.0,36000.0,72000.0,1382400.0,3.0,15.0,0.2,Sedang
Indomaret Wahid Hasyim,mobil,weekend,4.0,18.00-22.00,5.0,07.00-12.00,6.0,12.00-18.00,3.0,2.0,1.0,2.0,1.0,1.0,11.0,7.0,7.0,25.0,2000.0,50000.0,100000.0,1920000.0,4.0,15.0,0.26666666666666666,Sedang
Rocket Chiken Wahid Hasyim,mobil,weekend,3.0,10.00-13.00,3.0,18.00-21.00,5.0,13.00-18.00,2.0,2.0,1.0,1.0,1.0,0.0,5.0,5.0,1.0,11.0,2000.0,22000.0,44000.0,844800.0,2.0,11.0,0.18181818181818182,Sedang
Salsa Snack,mobil,weekend,3.0,06.00-09.00,7.0,09.00-16.00,5.0,16.00-21.00,2.0,2.0,0.0,2.0,1.0,0.0,8.0,9.0,0.0,17.0,2000.0,34000.0,68000.0,1305600.0,3.0,15.0,0.2,Sedang
Sate Ahmad Yani,mobil,weekend,3.0,18.00-21.00,3.0,10.00-13.00,5.0,13.00-18.00,5.0,3.0,2.0,2.0,1.0,1.0,11.0,6.0,7.0,24.0,2000.0,48000.0,96000.0,1843200.0,4.0,11.0,0.36363636363636365,Sedang
